nb_hab;nb_fam;ar_name;shi_name;taqbilt;shi_taqbilt;nb_hab_2014;nb_fam_2014;;;;;
65;18;تودانت;Tawdant;ازوريغالن;Azur Iɣaln;;;;;;;
12;2;آيت داود ;Ayt Dawd;ازوريغالن;Azur Iɣaln;;;;;;;
21;4;إفرض أنزكارن;Ifrḍ Inzgarn;ازوريغالن;Azur Iɣaln;;;;;;;
267;59;أفلا نتكوشت;Aflla n Tkuct;تكوشت;Takuct;184;50;;;;;
256;53;ثلاث نزضين;Tlat n Zḍin;تكوشت;Takuct;208;47;;;;;
392;85;تزكان;Tzukan;تكوشت;Takuct;406;95;;;;;
50;14;تغمرت;Tiɣmrt;تكوشت;Takuct;;;;;;;
21;4;آيت الطالب أ عبد الله;Ayt Ṭalb u Ɛbdllah;تكوشت;Takuct;;;;;;;
20;4;تسقيموت;Tasqimut;تكوشت;Takuct;;;;;;;
45;6;آيت أنجار;Ayt Anjjar;تكوشت;Takuct;;;;;;;
23;6;تغالين;Tiɣalin;تكوشت;Takuct;;;;;;;
21;4;إدغارن;Idɣarn;تكوشت;Takuct;;;;;;;
78;14;إمكرغيتن;Amkrɣitn;تكوشت;Takuct;;;;;;;
110;18;إموشيون;Imucciwn;تكوشت;Takuct;;;;;;;
63;12;تكتيب;Taknit;تكوشت;Takuct;;;;;;;
