nb_hab;nb_fam;ar_name;shi_name;taqbilt;shi_taqbilt;tagrawt;shi_tagrawt;nb_hab_2014;nb_fam_2014;;;;;
24;4;آيت ويختار;Ayt Wixtar;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
25;5;تيمفور;Timɣur;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
18;6;إيوال;Iwwal;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
22;4;آيت أوبراييم;Ayt u Bṛayyim;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
8;2;أودير;Awdid;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
44;13;أفرادا;Tfrada;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
41;12;تيوغزا;Tiwɣza;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
107;30;أكادير نكامزت;Agadir n Gmzt;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
14;5;تيفغلت إفرخسن;Tifɣlt Ifaxsn;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
49;15;إغير إفران;Iɣir Ifran;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
35;7;إزعرين;Izɛrin;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
26;8;دار وامان;Dar Waman;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
46;12;آيت بوالحاج;Ayt Bu Lḥajj;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
36;10;إعدلان;Iɛdlan;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
36;7;تاحوكات;Taḥggʷat;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
37;7;توريرت نبوموس;Tawrirt n Bumus;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
107;29;تابنانات;Tabnanat;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
189;57;إمحيلن;Imḥiln;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;108;38;;;;;
57;24;تيزيرت;Tizirt;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
8;6;توشنت;Tuccnt;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
32;11;تيزركان;Tizʷrgan;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
